,flop,board_type,0b,1b,2b,profit,flop,max_profit
93,"[6, 3, 3]",two-tone,16,11,8,1.9761824037611944,"[6, 3, 3]",1.9761824037611944
94,"[6, 3, 2]",two-tone,16,11,8,1.9166165836217464,"[6, 3, 2]",1.9166165836217464
95,"[6, 2, 2]",two-tone,16,11,8,1.9821946572139304,"[6, 2, 2]",1.9821946572139304
96,"[5, 5, 4]",two-tone,16,11,8,2.0089029285269864,"[5, 5, 4]",2.0089029285269864
97,"[5, 5, 3]",two-tone,16,11,8,2.021207084515439,"[5, 5, 3]",2.021207084515439
98,"[5, 5, 2]",two-tone,16,11,8,2.027007262762809,"[5, 5, 2]",2.027007262762809
99,"[5, 4, 4]",two-tone,16,11,8,2.0761287993614586,"[5, 4, 4]",2.0761287993614586
100,"[5, 4, 3]",two-tone,16,11,8,2.247189230161963,"[5, 4, 3]",2.247189230161963
101,"[5, 4, 2]",two-tone,16,11,8,2.2605348001512207,"[5, 4, 2]",2.2605348001512207
102,"[5, 3, 3]",two-tone,16,11,8,2.124289094457054,"[5, 3, 3]",2.124289094457054
103,"[5, 3, 2]",two-tone,16,11,8,2.2816209122436453,"[5, 3, 2]",2.2816209122436453
104,"[5, 2, 2]",two-tone,16,11,8,2.1280769938699646,"[5, 2, 2]",2.1280769938699646
105,"[4, 4, 3]",two-tone,16,11,8,2.0536546792485275,"[4, 4, 3]",2.0536546792485275
106,"[4, 4, 2]",two-tone,16,11,8,2.06461275966927,"[4, 4, 2]",2.06461275966927
107,"[4, 3, 3]",two-tone,16,11,8,2.1202088347780315,"[4, 3, 3]",2.1202088347780315
108,"[4, 3, 2]",two-tone,16,11,8,2.1127434230926827,"[4, 3, 2]",2.1127434230926827
109,"[4, 2, 2]",two-tone,16,11,8,2.131255132058256,"[4, 2, 2]",2.131255132058256
110,"[3, 3, 2]",two-tone,16,11,8,2.0800058753400563,"[3, 3, 2]",2.0800058753400563
111,"[3, 2, 2]",two-tone,16,11,8,2.1020213488241977,"[3, 2, 2]",2.1020213488241977
112,"[14, 9, 9]",two-tone,16,11,8,2.1795676161125312,"[14, 9, 9]",2.1795676161125312
113,"[14, 9, 8]",two-tone,16,11,8,1.9372984188108417,"[14, 9, 8]",1.9372984188108417
114,"[14, 9, 7]",two-tone,16,11,8,1.68396852605672,"[14, 9, 7]",1.68396852605672
115,"[14, 9, 6]",two-tone,16,11,8,1.7417130457909542,"[14, 9, 6]",1.7417130457909542
116,"[14, 9, 5]",two-tone,16,11,8,1.7896440043223998,"[14, 9, 5]",1.7896440043223998
117,"[14, 9, 4]",two-tone,16,11,8,1.7356781630916824,"[14, 9, 4]",1.7356781630916824
118,"[14, 9, 3]",two-tone,16,11,8,1.73947342069867,"[14, 9, 3]",1.73947342069867
119,"[14, 9, 2]",two-tone,16,11,8,1.7437658176425506,"[14, 9, 2]",1.7437658176425506
120,"[14, 8, 8]",two-tone,16,11,8,2.0625895236055776,"[14, 8, 8]",2.0625895236055776
