,_flop,_board_type,_0b,_1b,_2b,_profit,flop,max_profit
206,"[13, 9, 5]",two-tone,16,11,8,1.7132280211920532,"[13, 9, 5]",1.7132280211920532
207,"[13, 9, 4]",two-tone,16,11,8,1.7463392860325198,"[13, 9, 4]",1.7463392860325198
208,"[13, 9, 3]",two-tone,16,11,8,1.7591473298327291,"[13, 9, 3]",1.7591473298327291
209,"[13, 9, 2]",two-tone,16,11,8,1.8176412658417884,"[13, 9, 2]",1.8176412658417884
210,"[13, 8, 8]",two-tone,16,11,8,1.9200082413701764,"[13, 8, 8]",1.9200082413701764
211,"[13, 8, 7]",two-tone,16,11,8,1.842469925251054,"[13, 8, 7]",1.842469925251054
212,"[13, 8, 6]",two-tone,16,11,8,1.7854067858112883,"[13, 8, 6]",1.7854067858112883
213,"[13, 8, 5]",two-tone,16,11,8,1.7853041590967584,"[13, 8, 5]",1.7853041590967584
214,"[13, 8, 4]",two-tone,16,11,8,1.8045231872301968,"[13, 8, 4]",1.8045231872301968
215,"[13, 8, 3]",two-tone,16,11,8,1.8147844744083936,"[13, 8, 3]",1.8147844744083936
216,"[13, 8, 2]",two-tone,16,11,8,1.8599835990911924,"[13, 8, 2]",1.8599835990911924
217,"[13, 7, 7]",two-tone,16,11,8,2.0215313026127264,"[13, 7, 7]",2.0215313026127264
218,"[13, 7, 6]",two-tone,16,11,8,1.7769317183054132,"[13, 7, 6]",1.7769317183054132
219,"[13, 7, 5]",two-tone,16,11,8,1.7327534364876276,"[13, 7, 5]",1.7327534364876276
220,"[13, 7, 4]",two-tone,16,11,8,1.755852432816708,"[13, 7, 4]",1.755852432816708
221,"[13, 7, 3]",two-tone,16,11,8,1.7793461339585288,"[13, 7, 3]",1.7793461339585288
222,"[13, 7, 2]",two-tone,16,11,8,1.8441340321378936,"[13, 7, 2]",1.8441340321378936
223,"[13, 6, 6]",two-tone,16,11,8,1.982946219795489,"[13, 6, 6]",1.982946219795489
224,"[13, 6, 5]",two-tone,16,11,8,1.6969930310565582,"[13, 6, 5]",1.6969930310565582
225,"[13, 6, 4]",two-tone,16,11,8,1.7575286035501272,"[13, 6, 4]",1.7575286035501272
226,"[13, 6, 3]",two-tone,16,11,8,1.7395118971862231,"[13, 6, 3]",1.7395118971862231
227,"[13, 6, 2]",two-tone,16,11,8,1.8019853147358256,"[13, 6, 2]",1.8019853147358256
228,"[13, 5, 5]",two-tone,16,11,8,1.920910266468682,"[13, 5, 5]",1.920910266468682
229,"[13, 5, 4]",two-tone,16,11,8,1.7705127312393092,"[13, 5, 4]",1.7705127312393092
230,"[13, 5, 3]",two-tone,16,11,8,1.7834966788492217,"[13, 5, 3]",1.7834966788492217
231,"[13, 5, 2]",two-tone,16,11,8,1.7941327697413287,"[13, 5, 2]",1.7941327697413287
232,"[13, 4, 4]",two-tone,16,11,8,1.933092626943488,"[13, 4, 4]",1.933092626943488
233,"[13, 4, 3]",two-tone,16,11,8,1.8706539519977612,"[13, 4, 3]",1.8706539519977612
234,"[13, 4, 2]",two-tone,16,11,8,1.8644197115566945,"[13, 4, 2]",1.8644197115566945
235,"[13, 3, 3]",two-tone,16,11,8,1.9085924028001484,"[13, 3, 3]",1.9085924028001484
236,"[13, 3, 2]",two-tone,16,11,8,1.9170586083524688,"[13, 3, 2]",1.9170586083524688
237,"[13, 2, 2]",two-tone,16,11,8,1.9352800851897187,"[13, 2, 2]",1.9352800851897187
238,"[13, 13, 9]",two-tone,16,11,8,1.822035552613956,"[13, 13, 9]",1.822035552613956
239,"[13, 13, 8]",two-tone,16,11,8,1.900587304164844,"[13, 13, 8]",1.900587304164844
240,"[13, 13, 7]",two-tone,16,11,8,1.8403440690531383,"[13, 13, 7]",1.8403440690531383
241,"[13, 13, 6]",two-tone,16,11,8,1.7604149867371368,"[13, 13, 6]",1.7604149867371368
242,"[13, 13, 5]",two-tone,16,11,8,1.7193909110217984,"[13, 13, 5]",1.7193909110217984
243,"[13, 13, 4]",two-tone,16,11,8,1.7415414771925095,"[13, 13, 4]",1.7415414771925095
244,"[13, 13, 3]",two-tone,16,11,8,1.7323706852779257,"[13, 13, 3]",1.7323706852779257
245,"[13, 13, 2]",two-tone,16,11,8,1.7751200688314568,"[13, 13, 2]",1.7751200688314568
246,"[13, 13, 12]",two-tone,16,11,8,1.8512620057861782,"[13, 13, 12]",1.8512620057861782
247,"[13, 13, 11]",two-tone,16,11,8,1.9033337483587542,"[13, 13, 11]",1.9033337483587542
248,"[13, 13, 10]",two-tone,16,11,8,1.885612402846076,"[13, 13, 10]",1.885612402846076
249,"[13, 12, 9]",two-tone,16,11,8,2.334193953232351,"[13, 12, 9]",2.334193953232351
250,"[13, 12, 8]",two-tone,16,11,8,1.7629416297232692,"[13, 12, 8]",1.7629416297232692
251,"[13, 12, 7]",two-tone,16,11,8,1.766102951999599,"[13, 12, 7]",1.766102951999599
252,"[13, 12, 6]",two-tone,16,11,8,1.712953267714934,"[13, 12, 6]",1.712953267714934
253,"[13, 12, 5]",two-tone,16,11,8,1.6538232554276318,"[13, 12, 5]",1.6538232554276318
254,"[13, 12, 4]",two-tone,16,11,8,1.6981549091811736,"[13, 12, 4]",1.6981549091811736
255,"[13, 12, 3]",two-tone,16,11,8,1.719377440844276,"[13, 12, 3]",1.719377440844276
256,"[13, 12, 2]",two-tone,16,11,8,1.7757642155848978,"[13, 12, 2]",1.7757642155848978
257,"[13, 12, 12]",two-tone,16,11,8,2.1443675220215246,"[13, 12, 12]",2.1443675220215246
258,"[13, 12, 11]",two-tone,16,11,8,2.179039051302204,"[13, 12, 11]",2.179039051302204
259,"[13, 12, 10]",two-tone,16,11,8,2.4580051876441127,"[13, 12, 10]",2.4580051876441127
260,"[13, 11, 9]",two-tone,16,11,8,2.3684537696085393,"[13, 11, 9]",2.3684537696085393
261,"[13, 11, 8]",two-tone,16,11,8,1.8325202698927656,"[13, 11, 8]",1.8325202698927656
262,"[13, 11, 7]",two-tone,16,11,8,1.8382904614517144,"[13, 11, 7]",1.8382904614517144
263,"[13, 11, 6]",two-tone,16,11,8,1.770276110637255,"[13, 11, 6]",1.770276110637255
264,"[13, 11, 5]",two-tone,16,11,8,1.7307029811379553,"[13, 11, 5]",1.7307029811379553
265,"[13, 11, 4]",two-tone,16,11,8,1.7628583904889419,"[13, 11, 4]",1.7628583904889419
266,"[13, 11, 3]",two-tone,16,11,8,1.7798902778533665,"[13, 11, 3]",1.7798902778533665
267,"[13, 11, 2]",two-tone,16,11,8,1.8357722866594672,"[13, 11, 2]",1.8357722866594672
268,"[13, 11, 11]",two-tone,16,11,8,2.186657623099415,"[13, 11, 11]",2.186657623099415
269,"[13, 11, 10]",two-tone,16,11,8,2.50740102447921,"[13, 11, 10]",2.50740102447921
270,"[13, 10, 9]",two-tone,16,11,8,2.399545688725377,"[13, 10, 9]",2.399545688725377
271,"[13, 10, 8]",two-tone,16,11,8,1.8424006856596729,"[13, 10, 8]",1.8424006856596729
272,"[13, 10, 7]",two-tone,16,11,8,1.8401561583670336,"[13, 10, 7]",1.8401561583670336
273,"[13, 10, 6]",two-tone,16,11,8,1.7754519367177244,"[13, 10, 6]",1.7754519367177244
274,"[13, 10, 5]",two-tone,16,11,8,1.7433272292756226,"[13, 10, 5]",1.7433272292756226
275,"[13, 10, 4]",two-tone,16,11,8,1.77094912754469,"[13, 10, 4]",1.77094912754469
276,"[13, 10, 3]",two-tone,16,11,8,1.788825391790675,"[13, 10, 3]",1.788825391790675
277,"[13, 10, 2]",two-tone,16,11,8,1.844118736614606,"[13, 10, 2]",1.844118736614606
