,flop,board_type,0b,1b,2b,profit,flop,max_profit
93,"[6, 3, 3]",two-tone,16,11,8,7.793838239999999,"[6, 3, 3]",7.793838239999999
94,"[6, 3, 2]",two-tone,16,11,8,7.79039553230769,"[6, 3, 2]",7.79039553230769
95,"[6, 2, 2]",two-tone,16,11,8,7.793683864615384,"[6, 2, 2]",7.793683864615384
96,"[5, 5, 4]",two-tone,16,11,8,8.225400842352942,"[5, 5, 4]",8.225400842352942
97,"[5, 5, 3]",two-tone,16,11,8,8.228080687058824,"[5, 5, 3]",8.228080687058824
98,"[5, 5, 2]",two-tone,16,11,8,8.23323317647059,"[5, 5, 2]",8.23323317647059
99,"[5, 4, 4]",two-tone,16,11,8,8.229961331764706,"[5, 4, 4]",8.229961331764706
100,"[5, 4, 3]",two-tone,16,11,8,8.792705214117646,"[5, 4, 3]",8.792705214117646
101,"[5, 4, 2]",two-tone,16,11,8,8.742537305882353,"[5, 4, 2]",8.742537305882353
102,"[5, 3, 3]",two-tone,16,11,8,8.228051435294116,"[5, 3, 3]",8.228051435294116
103,"[5, 3, 2]",two-tone,16,11,8,8.736521628235293,"[5, 3, 2]",8.736521628235293
104,"[5, 2, 2]",two-tone,16,11,8,8.230371988235294,"[5, 2, 2]",8.230371988235294
105,"[4, 4, 3]",two-tone,16,11,8,8.228827651764707,"[4, 4, 3]",8.228827651764707
106,"[4, 4, 2]",two-tone,16,11,8,8.229245185882354,"[4, 4, 2]",8.229245185882354
107,"[4, 3, 3]",two-tone,16,11,8,8.226368588235296,"[4, 3, 3]",8.226368588235296
108,"[4, 3, 2]",two-tone,16,11,8,8.736173044705883,"[4, 3, 2]",8.736173044705883
109,"[4, 2, 2]",two-tone,16,11,8,8.229172056470588,"[4, 2, 2]",8.229172056470588
110,"[3, 3, 2]",two-tone,16,11,8,8.228214496470589,"[3, 3, 2]",8.228214496470589
111,"[3, 2, 2]",two-tone,16,11,8,8.234778122352942,"[3, 2, 2]",8.234778122352942
112,"[14, 9, 9]",two-tone,16,11,8,3.8296461844336216,"[14, 9, 9]",3.8296461844336216
113,"[14, 9, 8]",two-tone,15,10,7,4.804977235401907,"[14, 9, 8]",4.804977235401907
114,"[14, 9, 7]",two-tone,16,11,8,4.298779876193901,"[14, 9, 7]",4.298779876193901
115,"[14, 9, 6]",two-tone,16,11,8,4.1854167817844115,"[14, 9, 6]",4.1854167817844115
116,"[14, 9, 5]",two-tone,16,11,8,3.988773963041634,"[14, 9, 5]",3.988773963041634
117,"[14, 9, 4]",two-tone,16,11,8,3.9818974740486603,"[14, 9, 4]",3.9818974740486603
118,"[14, 9, 3]",two-tone,16,11,8,3.9813518843531095,"[14, 9, 3]",3.9813518843531095
119,"[14, 9, 2]",two-tone,16,11,8,3.985548464212594,"[14, 9, 2]",3.985548464212594
120,"[14, 8, 8]",two-tone,16,11,8,2.1617618152073743,"[14, 8, 8]",2.1617618152073743
121,"[14, 8, 7]",two-tone,16,11,8,4.0829692921663066,"[14, 8, 7]",4.0829692921663066
122,"[14, 8, 6]",two-tone,16,11,8,3.5377652807554014,"[14, 8, 6]",3.5377652807554014
123,"[14, 8, 5]",two-tone,16,11,8,3.3737937140174323,"[14, 8, 5]",3.3737937140174323
124,"[14, 8, 4]",two-tone,16,11,8,3.345614880666912,"[14, 8, 4]",3.345614880666912
125,"[14, 8, 3]",two-tone,16,11,8,3.3432714890770505,"[14, 8, 3]",3.3432714890770505
126,"[14, 8, 2]",two-tone,16,11,8,3.3429258673028572,"[14, 8, 2]",3.3429258673028572
127,"[14, 7, 7]",two-tone,16,11,8,0.13209443594470027,"[14, 7, 7]",0.13209443594470027
128,"[14, 7, 6]",two-tone,16,11,8,1.8822639824565253,"[14, 7, 6]",1.8822639824565253
129,"[14, 7, 5]",two-tone,16,11,8,1.3530980933179717,"[14, 7, 5]",1.3530980933179717
130,"[14, 7, 4]",two-tone,16,11,8,1.2924136074361114,"[14, 7, 4]",1.2924136074361114
131,"[14, 7, 3]",two-tone,16,11,8,1.2707195049329694,"[14, 7, 3]",1.2707195049329694
132,"[14, 7, 2]",two-tone,16,11,8,1.2640395939882692,"[14, 7, 2]",1.2640395939882692
133,"[14, 6, 6]",two-tone,16,11,8,-1.5098572026497694,"[14, 6, 6]",-1.5098572026497694
134,"[14, 6, 5]",two-tone,16,11,8,-0.2367622918748491,"[14, 6, 5]",-0.2367622918748491
135,"[14, 6, 4]",two-tone,16,11,8,-0.3284987830099453,"[14, 6, 4]",-0.3284987830099453
136,"[14, 6, 3]",two-tone,16,11,8,-0.3970863975685191,"[14, 6, 3]",-0.3970863975685191
137,"[14, 6, 2]",two-tone,16,11,8,-0.4268295181542576,"[14, 6, 2]",-0.4268295181542576
138,"[14, 5, 5]",two-tone,16,11,8,-2.959775412087912,"[14, 5, 5]",-2.959775412087912
139,"[14, 5, 4]",two-tone,16,11,8,-1.629101333516484,"[14, 5, 4]",-1.629101333516484
140,"[14, 5, 3]",two-tone,16,11,8,-1.7221687346153849,"[14, 5, 3]",-1.7221687346153849
141,"[14, 5, 2]",two-tone,16,11,8,-1.7845750692307698,"[14, 5, 2]",-1.7845750692307698
142,"[14, 4, 4]",two-tone,16,11,8,-2.9688588592307688,"[14, 4, 4]",-2.9688588592307688
143,"[14, 4, 3]",two-tone,16,11,8,-1.7259221813186818,"[14, 4, 3]",-1.7259221813186818
144,"[14, 4, 2]",two-tone,16,11,8,-1.780483804395605,"[14, 4, 2]",-1.780483804395605
145,"[14, 3, 3]",two-tone,16,11,8,-2.9585774903296698,"[14, 3, 3]",-2.9585774903296698
146,"[14, 3, 2]",two-tone,16,11,8,-1.7829133016483525,"[14, 3, 2]",-1.7829133016483525
147,"[14, 2, 2]",two-tone,16,11,8,-2.9635075736263734,"[14, 2, 2]",-2.9635075736263734
148,"[14, 14, 9]",two-tone,16,11,8,3.2777020477801058,"[14, 14, 9]",3.2777020477801058
149,"[14, 14, 8]",two-tone,16,11,8,2.6281476173920124,"[14, 14, 8]",2.6281476173920124
150,"[14, 14, 7]",two-tone,16,11,8,0.2328689265506476,"[14, 14, 7]",0.2328689265506476
151,"[14, 14, 6]",two-tone,16,11,8,-1.61085323230852,"[14, 14, 6]",-1.61085323230852
152,"[14, 14, 5]",two-tone,16,11,8,-3.3394411488699256,"[14, 14, 5]",-3.3394411488699256
153,"[14, 14, 4]",two-tone,16,11,8,-3.3367741352952645,"[14, 14, 4]",-3.3367741352952645
154,"[14, 14, 3]",two-tone,16,11,8,-3.339184995023772,"[14, 14, 3]",-3.339184995023772
155,"[14, 14, 2]",two-tone,16,11,8,-3.3385069407251287,"[14, 14, 2]",-3.3385069407251287
156,"[14, 14, 13]",two-tone,16,11,8,7.7688375226144695,"[14, 14, 13]",7.7688375226144695
157,"[14, 14, 12]",two-tone,16,11,8,7.661422480176827,"[14, 14, 12]",7.661422480176827
158,"[14, 14, 11]",two-tone,15,10,7,5.081479736133919,"[14, 14, 11]",5.081479736133919
159,"[14, 14, 10]",two-tone,15,10,7,4.5755942628583375,"[14, 14, 10]",4.5755942628583375
160,"[14, 13, 9]",two-tone,15,10,7,4.867449795582947,"[14, 13, 9]",4.867449795582947
161,"[14, 13, 8]",two-tone,15,10,7,6.409404280855428,"[14, 13, 8]",6.409404280855428
162,"[14, 13, 7]",two-tone,16,11,8,5.793036504813763,"[14, 13, 7]",5.793036504813763
163,"[14, 13, 6]",two-tone,16,11,8,5.787112747001263,"[14, 13, 6]",5.787112747001263
164,"[14, 13, 5]",two-tone,16,11,8,5.417579416786916,"[14, 13, 5]",5.417579416786916
165,"[14, 13, 4]",two-tone,16,11,8,5.417709632560727,"[14, 13, 4]",5.417709632560727
