,flop,board_type,0b,1b,2b,profit,flop,max_profit
78,"[7, 4, 2]",two-tone,1,1,1,1.1021545119179152,"[7, 4, 2]",1.1021545119179152
79,"[7, 3, 3]",two-tone,1,1,1,0.9104964799974888,"[7, 3, 3]",0.9104964799974888
80,"[7, 3, 2]",two-tone,1,1,1,1.1098870186450622,"[7, 3, 2]",1.1098870186450622
81,"[7, 2, 2]",two-tone,1,1,1,0.9049059227920542,"[7, 2, 2]",0.9049059227920542
82,"[6, 6, 5]",two-tone,1,1,1,1.6666278211021948,"[6, 6, 5]",1.6666278211021948
83,"[6, 6, 4]",two-tone,1,1,1,1.6430947977599952,"[6, 6, 4]",1.6430947977599952
84,"[6, 6, 3]",two-tone,1,1,1,1.3202414017884505,"[6, 6, 3]",1.3202414017884505
85,"[6, 6, 2]",two-tone,1,1,1,1.3266113543571367,"[6, 6, 2]",1.3266113543571367
86,"[6, 5, 5]",two-tone,1,1,1,1.3634640660763186,"[6, 5, 5]",1.3634640660763186
87,"[6, 5, 4]",two-tone,1,1,1,0.8217250686644206,"[6, 5, 4]",0.8217250686644206
88,"[6, 5, 3]",two-tone,1,1,1,1.45081350987806,"[6, 5, 3]",1.45081350987806
89,"[6, 5, 2]",two-tone,1,1,1,1.5530048597474728,"[6, 5, 2]",1.5530048597474728
90,"[6, 4, 4]",two-tone,1,1,1,1.2780697289440248,"[6, 4, 4]",1.2780697289440248
91,"[6, 4, 3]",two-tone,1,1,1,1.4581865542260062,"[6, 4, 3]",1.4581865542260062
92,"[6, 4, 2]",two-tone,2,2,2,1.5611831072251792,"[6, 4, 2]",1.5611831072251792
93,"[6, 3, 3]",two-tone,1,1,1,0.8671788730422949,"[6, 3, 3]",0.8671788730422949
94,"[6, 3, 2]",two-tone,2,2,2,1.0517197191441434,"[6, 3, 2]",1.0517197191441434
95,"[6, 2, 2]",two-tone,3,2,2,0.8687527834039779,"[6, 2, 2]",0.8687527834039779
96,"[5, 5, 4]",two-tone,1,1,1,1.5793550847306583,"[5, 5, 4]",1.5793550847306583
97,"[5, 5, 3]",two-tone,1,1,1,1.181828491844163,"[5, 5, 3]",1.181828491844163
98,"[5, 5, 2]",two-tone,2,2,2,1.1681777020718864,"[5, 5, 2]",1.1681777020718864
99,"[5, 4, 4]",two-tone,1,1,1,1.2714962741776417,"[5, 4, 4]",1.2714962741776417
