,flop,board_type,0b,1b,2b,profit,flop,max_profit
191,"[14, 11, 11]",two-tone,15,10,7,8.122947259771355,"[14, 11, 11]",8.122947259771355
192,"[14, 11, 10]",two-tone,15,10,7,13.490329802545926,"[14, 11, 10]",13.490329802545926
193,"[14, 10, 9]",two-tone,15,10,7,8.312623636751395,"[14, 10, 9]",8.312623636751395
194,"[14, 10, 8]",two-tone,15,10,7,7.249024209047619,"[14, 10, 8]",7.249024209047619
195,"[14, 10, 7]",two-tone,16,11,8,7.184914802619049,"[14, 10, 7]",7.184914802619049
196,"[14, 10, 6]",two-tone,16,11,8,7.113141963333333,"[14, 10, 6]",7.113141963333333
197,"[14, 10, 5]",two-tone,15,10,7,6.730507411525422,"[14, 10, 5]",6.730507411525422
198,"[14, 10, 4]",two-tone,15,10,7,6.731756924519773,"[14, 10, 4]",6.731756924519773
199,"[14, 10, 3]",two-tone,15,10,7,6.7332547342372875,"[14, 10, 3]",6.7332547342372875
200,"[14, 10, 2]",two-tone,16,11,8,6.7336903988700545,"[14, 10, 2]",6.7336903988700545
201,"[14, 10, 10]",two-tone,16,11,8,7.104275752621641,"[14, 10, 10]",7.104275752621641
202,"[13, 9, 9]",two-tone,16,11,8,2.9993039180327874,"[13, 9, 9]",2.9993039180327874
203,"[13, 9, 8]",two-tone,16,11,8,3.9304318211864406,"[13, 9, 8]",3.9304318211864406
204,"[13, 9, 7]",two-tone,15,10,7,3.9299488347457623,"[13, 9, 7]",3.9299488347457623
205,"[13, 9, 6]",two-tone,16,11,8,3.8229514940677967,"[13, 9, 6]",3.8229514940677967
206,"[13, 9, 5]",two-tone,16,11,8,3.634367192741936,"[13, 9, 5]",3.634367192741936
207,"[13, 9, 4]",two-tone,15,10,7,3.634359577419355,"[13, 9, 4]",3.634359577419355
208,"[13, 9, 3]",two-tone,16,11,8,3.63567543467742,"[13, 9, 3]",3.63567543467742
209,"[13, 9, 2]",two-tone,15,10,7,3.6411133419354837,"[13, 9, 2]",3.6411133419354837
210,"[13, 8, 8]",two-tone,16,11,8,1.4823427650793657,"[13, 8, 8]",1.4823427650793657
211,"[13, 8, 7]",two-tone,16,11,8,3.5461342449999997,"[13, 8, 7]",3.5461342449999997
212,"[13, 8, 6]",two-tone,16,11,8,2.925772338333332,"[13, 8, 6]",2.925772338333332
213,"[13, 8, 5]",two-tone,16,11,8,2.7938887285714284,"[13, 8, 5]",2.7938887285714284
214,"[13, 8, 4]",two-tone,16,11,8,2.7790142015873003,"[13, 8, 4]",2.7790142015873003
215,"[13, 8, 3]",two-tone,16,11,8,2.770823573015873,"[13, 8, 3]",2.770823573015873
216,"[13, 8, 2]",two-tone,16,11,8,2.7734478952380948,"[13, 8, 2]",2.7734478952380948
217,"[13, 7, 7]",two-tone,16,11,8,-0.3653667317460321,"[13, 7, 7]",-0.3653667317460321
218,"[13, 7, 6]",two-tone,16,11,8,1.5746776199999997,"[13, 7, 6]",1.5746776199999997
219,"[13, 7, 5]",two-tone,16,11,8,1.0146053190476194,"[13, 7, 5]",1.0146053190476194
220,"[13, 7, 4]",two-tone,16,11,8,0.9789792634920628,"[13, 7, 4]",0.9789792634920628
221,"[13, 7, 3]",two-tone,16,11,8,0.9591233888888882,"[13, 7, 3]",0.9591233888888882
222,"[13, 7, 2]",two-tone,16,11,8,0.9527185492063484,"[13, 7, 2]",0.9527185492063484
223,"[13, 6, 6]",two-tone,16,11,8,-1.7451741460317445,"[13, 6, 6]",-1.7451741460317445
224,"[13, 6, 5]",two-tone,16,11,8,-0.2584386523809528,"[13, 6, 5]",-0.2584386523809528
225,"[13, 6, 4]",two-tone,16,11,8,-0.3232793492063504,"[13, 6, 4]",-0.3232793492063504
226,"[13, 6, 3]",two-tone,16,11,8,-0.3694077603174613,"[13, 6, 3]",-0.3694077603174613
227,"[13, 6, 2]",two-tone,16,11,8,-0.38030450158730256,"[13, 6, 2]",-0.38030450158730256
