,_flop,_board_type,_0b,_1b,_2b,_profit,flop,max_profit
345,"[11, 9, 8]",two-tone,1,1,1,1.1562618161654852,"[11, 9, 8]",1.1562618161654852
346,"[11, 9, 7]",two-tone,1,1,1,0.9481846267082136,"[11, 9, 7]",0.9481846267082136
347,"[11, 9, 6]",two-tone,1,1,1,0.6844282857156965,"[11, 9, 6]",0.6844282857156965
348,"[11, 9, 5]",two-tone,1,1,1,0.6320865615510232,"[11, 9, 5]",0.6320865615510232
349,"[11, 9, 4]",two-tone,1,1,1,0.7054241995895163,"[11, 9, 4]",0.7054241995895163
350,"[11, 9, 3]",two-tone,1,1,1,0.7375629100786634,"[11, 9, 3]",0.7375629100786634
351,"[11, 9, 2]",two-tone,1,1,1,0.7500750135755228,"[11, 9, 2]",0.7500750135755228
352,"[11, 8, 8]",two-tone,8,6,4,0.6484029305876136,"[11, 8, 8]",0.6484029305876136
353,"[11, 8, 7]",two-tone,1,1,1,0.9622795969098048,"[11, 8, 7]",0.9622795969098048
354,"[11, 8, 6]",two-tone,1,1,1,0.7113570538243782,"[11, 8, 6]",0.7113570538243782
355,"[11, 8, 5]",two-tone,1,1,1,0.6636663364598265,"[11, 8, 5]",0.6636663364598265
356,"[11, 8, 4]",two-tone,2,2,2,0.713207147679318,"[11, 8, 4]",0.713207147679318
357,"[11, 8, 3]",two-tone,2,2,2,0.7670109507650782,"[11, 8, 3]",0.7670109507650782
358,"[11, 8, 2]",two-tone,2,2,2,0.7744326359992656,"[11, 8, 2]",0.7744326359992656
359,"[11, 7, 7]",two-tone,8,6,4,0.600403923528271,"[11, 7, 7]",0.600403923528271
360,"[11, 7, 6]",two-tone,1,1,1,0.7429176679966041,"[11, 7, 6]",0.7429176679966041
361,"[11, 7, 5]",two-tone,1,1,1,0.7593719584437943,"[11, 7, 5]",0.7593719584437943
362,"[11, 7, 4]",two-tone,1,1,1,0.7194322027459951,"[11, 7, 4]",0.7194322027459951
363,"[11, 7, 3]",two-tone,1,1,1,0.6518259470547865,"[11, 7, 3]",0.6518259470547865
364,"[11, 7, 2]",two-tone,2,2,2,0.6977437922516828,"[11, 7, 2]",0.6977437922516828
365,"[11, 6, 6]",two-tone,15,10,7,0.9338722333317696,"[11, 6, 6]",0.9338722333317696
366,"[11, 6, 5]",two-tone,1,1,1,0.7695923106186687,"[11, 6, 5]",0.7695923106186687
367,"[11, 6, 4]",two-tone,10,7,5,0.9162147234938413,"[11, 6, 4]",0.9162147234938413
368,"[11, 6, 3]",two-tone,10,7,5,0.9163995494027508,"[11, 6, 3]",0.9163995494027508
369,"[11, 6, 2]",two-tone,2,2,2,0.8835614091302783,"[11, 6, 2]",0.8835614091302783
370,"[11, 5, 5]",two-tone,15,10,7,0.9755933454685776,"[11, 5, 5]",0.9755933454685776
371,"[11, 5, 4]",two-tone,10,7,5,0.8557099896222611,"[11, 5, 4]",0.8557099896222611
372,"[11, 5, 3]",two-tone,10,7,5,0.9277147490958926,"[11, 5, 3]",0.9277147490958926
373,"[11, 5, 2]",two-tone,10,7,5,0.883805970006943,"[11, 5, 2]",0.883805970006943
374,"[11, 4, 4]",two-tone,15,10,7,1.0656673951503206,"[11, 4, 4]",1.0656673951503206
375,"[11, 4, 3]",two-tone,10,7,5,0.8928719129416093,"[11, 4, 3]",0.8928719129416093
376,"[11, 4, 2]",two-tone,10,7,5,0.942734130403042,"[11, 4, 2]",0.942734130403042
377,"[11, 3, 3]",two-tone,10,7,5,1.060563521485685,"[11, 3, 3]",1.060563521485685
378,"[11, 3, 2]",two-tone,10,7,5,0.8706049900674556,"[11, 3, 2]",0.8706049900674556
379,"[11, 2, 2]",two-tone,10,7,5,0.9305926436386276,"[11, 2, 2]",0.9305926436386276
380,"[11, 11, 9]",two-tone,1,1,1,0.5935699375006602,"[11, 11, 9]",0.5935699375006602
381,"[11, 11, 8]",two-tone,2,2,2,0.6566193724118431,"[11, 11, 8]",0.6566193724118431
382,"[11, 11, 7]",two-tone,1,1,1,0.5975688052715041,"[11, 11, 7]",0.5975688052715041
383,"[11, 11, 6]",two-tone,15,10,7,0.8804123053208959,"[11, 11, 6]",0.8804123053208959
384,"[11, 11, 5]",two-tone,15,10,7,0.9411611744581144,"[11, 11, 5]",0.9411611744581144
385,"[11, 11, 4]",two-tone,15,10,7,1.084247480863529,"[11, 11, 4]",1.084247480863529
386,"[11, 11, 3]",two-tone,15,10,7,1.114683461509388,"[11, 11, 3]",1.114683461509388
387,"[11, 11, 2]",two-tone,15,10,7,1.084271866766603,"[11, 11, 2]",1.084271866766603
388,"[11, 11, 10]",two-tone,2,2,2,0.7176755300225983,"[11, 11, 10]",0.7176755300225983
